Ticker,Records,Start_Date,End_Date,Min_Close,Max_Close,Avg_Volume,Data_Quality
THYAO.IS,251,2024-08-29,2025-08-29,252.0,343.5,28656265.816733066,Valid
GARAN.IS,251,2024-08-29,2025-08-29,94.26460266113281,151.8000030517578,25078099.278884463,Valid
AKBNK.IS,251,2024-08-29,2025-08-29,45.38748550415039,73.46121215820312,92302344.83665338,Valid
ASELS.IS,251,2024-08-29,2025-08-29,54.81036376953125,188.5,35406583.48207171,Valid
KRDMD.IS,251,2024-08-29,2025-08-29,21.739999771118164,33.86000061035156,51607928.689243026,Valid
